para_indx,stability,freq,A1,A2,B1,B2
985,2,974,2084,2084,1,0
986,2,845,0,1,1431,1425
986,2,155,1429,1430,1,0
987,2,965,2,114,2351,794
987,2,35,170,1894,117,3
988,2,968,4,20,20,24
988,2,32,1118,1118,1,0
990,2,5,1,45,4341,101
990,2,995,4543,6098,68,1
992,2,407,0,0,191,168
992,2,593,182,191,0,0
993,2,635,0,0,190,190
993,2,365,190,190,0,0
994,2,4,1,77,2598,152
994,2,996,161,224,84,2
995,2,118,0,0,1449,1449
995,2,882,1449,1449,0,0
997,2,568,0,0,108,103
997,2,432,97,108,0,0
999,2,23,0,10,1105,48
999,2,977,5,69,72,4
1000,2,515,0,0,416,416
1000,2,485,416,416,0,0
